,time,count,length,before,after
0,0.0887,16,205,"Maple leaf,autumn,brook,{{{dynamic light}}},spring,a girl,white dress,white long hair,small chest,cat ears,half body,full moon,masterpiece,best quality,official art,extremely detailed CG unity 8k wallpaper","maple leaf,autumn,mook,{{{light}}},spring,girl,white dress,white hair,chest,cat ears,full body,full moon,masterpiece,best quality,official art,artist:xubeichaoyansuan"
1,0.0656,13,165,"Japanese temple,dusk,dynamic light,a girl,perspective,back,kimono,highlight,bird house,best quality,masterpiece,official art,extremely detailed CG unity 8k wallpaper","myouren temple,artist:yamyom,light,girl,perspective,back,kimono,highlights,birdhouse,best quality,masterpiece,official art,artist:xubeichaoyansuan"
2,0.1841,38,635,"((illustration)), ((floating hair)), ((chromatic aberration)), ((caustic)), lens flare, dynamic angle, ((portrait)), (1 girl), ((solo)), cute face, ((hidden hands)), asymmetrical bangs, (beautiful detailed eyes), eye shadow, ((huge clocks)), ((glass strips)), (floating glass fragments), ((colorful refraction)), (beautiful detailed sky), ((dark intense shadows)), ((cinematic lighting)), ((overexposure)), (expressionless), blank stare, big top sleeves, ((frills)), hair_ornament, ribbons, bowties, buttons, (((small breast))), pleated skirt, ((sharp focus)), ((masterpiece)), (((best quality))), ((extremely detailed)), colorful, hdr","((novel illustration)), floating hair)), artist:chromakey)), caustic tar)), lens flare, angle, portrait)), 1girl), sou)), awesome face, bad hands)), asymmetrical bangs, eyes), eyeshadow, too many clocks)), glass)), glass shards), refraction)), cloudy sky), shadow)), backlighting)), overexposure)), expressionless), blank stare, wide sleeves, frills)), hair ornament, ribbon, bowtie, buttons, small breasts))), pleated skirt, eye focus)), epic)), best quality))), oked oc)), colorful, "
3,0.059,12,185,"library,Columnarbookshelf,limestone cave,best quality,in the desert ,cactus,Architectural relics,wilderness,a sunny day,official art,extremely detailed CG unity 8k wallpaper,masterpiece","library,bookshelf,union cave,best quality,desert ,cactus,retro architecture,wasteland,sun-sun,official art,artist:xubeichaoyansuan,masterpiece"
4,0.071,15,233,"desert,karst landform,dry,rock,Huge mechanical parts,Temple Relics,Black stele,Desert Ruins,best quality,official art,extremely detailed CG unity 8k wallpaper,Genshin Impact,beautiful detailed sky,on a desert+nsfw,{{{{{{{Oasis}}}}}}}","desert,nature land,dry,rock,mechanical parts,temple,stele,ruins,best quality,official art,artist:xubeichaoyansuan,delusion genshin impact,cloudy sky,desert,{{{{{{{}}}}}}}"
5,0.0626,13,246,"{{{{{{Indoor scientific experiment center}}}}}},science fiction,factory,{{{display device}}},Structure of large blocks,Digital painting,pipe,best quality,official art,extremely detailed CG unity 8k wallpaper,Genshin Impact,absurdres,huge filesize","{{{{{{national museum of nature and science}}}}}},science fiction,factory,{{{charging device}}},rotating block,digital art,pipe,best quality,official art,artist:xubeichaoyansuan,delusion genshin impact,absurdres,big enough"
6,0.0802,17,175,"Cattle, animal ear, medium chest, kimono, lakeside, summer, green, forest, {{{birds}}}}, blue sky, white clouds, dynamic light, sunlight, highlight, masterpiece, a girl, bloom","bull, animal ears, chest, kimono, lake, summer, green, forest, bird (birds}}}}, blue sky, white sky, light, sunlight, highlights, masterpiece, girl, bloom"
7,0.2304,50,522,"Girl,photo,dynamic light,sunshine,highlight,masterpiece,sunset,exquisite girl,ASK,bloom,illustration,white hair,red eyes,cherry tree,ponytail,straw hat,dress,Genshin Impact,seashore,shell,distant view,mountain,exquisite golden beach,coconut tree with good texture,daytime,white clouds,thick coating,transparent,blue sea,seabirds,flowers,rocks,starfish,fruits,Seagull,butterfly,forest,crab,dolphin,lighthouse,reef,wild flower,banana,fill light,reflective,,best quality,official art,extremely detailed CG unity 8k wallpaper,","girl,photo,light,sunlight,highlights,masterpiece,sunset,girl,question,bloom,novel illustration,white hair,red eyes,cherry tree,ponytail,straw hat,dress,delusion genshin impact,seaside,shell,alternate view,mountain,golden rose,coconut tree,daydream,white sky,cold coat,transparent,blue sea,bird (birds,flower,rock,starfish,fruit,seagull,butterfly,forest,crab,dolphin,lighthouse,coral reef,sweet flower,banana,light,reflection,,best quality,official art,artist:xubeichaoyansuan,"
8,0.0844,18,210,"Girl,medium chest,masterpiece,brown hair,high horsetail,school uniform,village,green long scarf,summer,sunshine,dynamic light,highlight,bloom,,best quality,official art,extremely detailed CG unity 8k wallpaper,","girl,chest,masterpiece,brown hair,horsetail plant,school uniform,village,green scarf,summer,sunlight,light,highlights,bloom,,best quality,official art,artist:xubeichaoyansuan,"
9,0.1567,34,417,"A girl,standing,armor,shock wave,mountain slope,dragon,rain,thunder,tears,dynamic light,highlight,masterpiece,particle special effect,sunlight,best quality,official art,extremely detailed CG unity 8k wallpaper, + nsfw, lowres, bad anatomy, bad hands, text error, missing fingers, extra digits, fewer digits, cropped, worst quality, low quality, standard quality, jpeg artifacts, signature, watermark, username, blurry","girl,standing,armor,shockwave,mountain,dragon,rain,thunder,tears,light,highlights,masterpiece,light particles,sunlight,best quality,official art,artist:xubeichaoyansuan, + +, lowres, bad anatomy, bad hands, error, missing finger, digits, fewer digits, cropped, worst quality, low quality, quality, jpeg artifacts, signature, watermark, username tag, blurry"
10,0.1771,39,450,"At noon,Sallulu,yellow light,reflection,sunlight,highlight,particle effect,edge light,light transmission,softness and transition,illustration,masterpiece,high quality,lady,girl,temptation,blue eyes,long hair,white hair,white necklace,white lace underwear,white stockings,bedroom,indoor light,pillow,round bed,medium chest,liquid,curtain,vase,desk lamp,yellow plush toys,desk,Luxury,,official art,best quality,extremely detailed CG unity 8k wallpaper,","sunday,galsuwaidi,yellow blood,reflection,sunlight,highlights,light particles,light,light,soft beauty,novel illustration,masterpiece,high quality,like a lady,girl,temptation module,blue eyes,long hair,white hair,necklace,white panties,white legwear,bedroom,light,pillow,round bed,chest,liquid,curtains,vase,computer,yellow,desk,glamour,,official art,best quality,artist:xubeichaoyansuan,"
11,0.1851,41,666,"medium chest,masterpiece,dynamic light,highlight,bloom,white hair,pink lipstick,pink powder blusher,long eyelashes,{{{{eye shadow}}}},sweater,off shoulder,short skirt,pink stockings,black hair band,{{best quality}},official art,{{extremely detailed CG unity 8k wallpaper}},standing,{{{mole under eye}}},{hand on own chest},in the market,{{{dyed bangs}}},{{{{{slim}}}}},{{{one adorable girl}}},{{hair over shoulder}},{{{{{cute face}}}}},{{alternate hair length}},{{floating hair}}, {{chromatic aberration}},{{caustic}}, lens flare, dynamic angle, {{portrait}},{{cinematic lighting}}, {beautiful detailed eyes},{{{{playground}}}},colorful, hdr, {{extremely detailed}},","chest,masterpiece,light,highlights,bloom,white hair,pink lipstick,pink eyeshadow,long eyelashes,{{{{eyeshadow}}}},sweater,off shoulder,shorts under skirt,pink socks,black hairband,{{best quality}},official art,{{artist:xubeichaoyansuan}},standing,{{{mole under eye}}},{hand on own chest},market,{{{dyed bangs}}},{{{{{slim101}}}}},{{{one girl}}},{{hair over shoulder}},{{{{{awesome face}}}}},{{alternate hair length}},{{floating hair}}, copyright:1 fps}},{{caustic tar}}, lens flare, angle, portrait}},{{lights}}, eyes},{{{{playground}}}},colorful, , well}},"
12,0.1736,38,635,"((illustration)), ((floating hair)), ((chromatic aberration)), ((caustic)), lens flare, dynamic angle, ((portrait)), (1 girl), ((solo)), cute face, ((hidden hands)), asymmetrical bangs, (beautiful detailed eyes), eye shadow, ((huge clocks)), ((glass strips)), (floating glass fragments), ((colorful refraction)), (beautiful detailed sky), ((dark intense shadows)), ((cinematic lighting)), ((overexposure)), (expressionless), blank stare, big top sleeves, ((frills)), hair_ornament, ribbons, bowties, buttons, (((small breast))), pleated skirt, ((sharp focus)), ((masterpiece)), (((best quality))), ((extremely detailed)), colorful, hdr","((novel illustration)), floating hair)), artist:chromakey)), caustic tar)), lens flare, angle, portrait)), 1girl), sou)), awesome face, bad hands)), asymmetrical bangs, eyes), eyeshadow, too many clocks)), glass)), glass shards), refraction)), cloudy sky), shadow)), backlighting)), overexposure)), expressionless), blank stare, wide sleeves, frills)), hair ornament, ribbon, bowtie, buttons, small breasts))), pleated skirt, eye focus)), epic)), best quality))), oked oc)), colorful, "
